site_id_from;site_id_to;iwait;inveht;xpen;xnum;cost
1658;2363;0.83;8.78;5;1;16.13
1659;2363;0.83;8.07;5;1;15.42
2025;2363;1.43;6.66;5;1;14.34
2359;2363;6;9.02;0;0;15.02
2360;2363;1.25;6.7;0;0;7.95
2368;2363;1.25;2.6;0;0;3.85
2369;2363;1.07;9.77;6.07;1.21;22.1
2576;2363;1.67;6.83;5;1;14.75
2589;2363;3.33;10.2;5;1;19.78
2590;2363;3.33;8.85;5;1;18.43
2591;2363;2.14;6.7;5;1;15.1
2592;2363;3.33;6.64;5;1;16.22
2593;2363;1.67;6.1;5;1;14.02
2594;2363;1.11;4.77;5;1;12.13
2597;2363;1.25;4.16;0;0;5.41
2616;2363;0.65;13.41;8.26;1.65;23.97
2628;2363;2;4.14;5;1;12.39
2629;2363;2;5.04;5;1;13.29
2630;2363;1.52;6.41;0;0;7.93
2686;2363;2.14;17.33;7.86;1.57;30.26
2785;2363;1.63;7.41;5;1;15.56
2786;2363;1.63;8.78;5;1;16.93
2787;2363;0.7;8.57;4.42;0.88;15.02
2788;2363;1.63;11.62;5;1;19.77
2790;2363;3.75;13.05;0;0;16.8
2791;2363;0.65;11.92;4.13;0.83;17.95
2793;2363;0.86;4.65;5;1;12.03
2794;2363;1.52;2.78;0;0;4.3
2795;2363;1.52;4.45;0;0;5.97
2811;2363;0.75;10.77;5;1;17.77
2814;2363;0.65;12.47;10;2;25.12
2860;2363;2;10.41;8.67;1.73;22.88
2861;2363;0.62;9.02;4.17;0.83;14.85
2862;2363;1.88;10.01;8.75;1.75;22.45
2863;2363;2.14;10.96;10;2;25.1
2924;2363;3.75;8.85;0;0;12.6
2925;2363;2.73;10.37;0;0;13.1
2926;2363;0.59;7.74;3.92;0.78;13.23
2937;2363;6;6.23;5;1;18.48
3014;2363;3.33;8.18;5;1;18.58
3317;2363;1.55;17.9;10;2;33.16
3318;2363;5;25.14;10;2;45.52
3349;2363;3.75;10.51;0;0;14.26
3798;2363;3.33;7.99;5;1;18.39
3799;2363;2.73;8.87;0;0;11.6
3962;2363;4.29;18.95;10;2;35.24
4077;2363;5;27.53;10;2;44.84
4138;2363;1.25;7.45;0;0;8.7
4142;2363;1.25;1.24;0;0;2.49
4149;2363;7.5;8.73;5;1;22.48
4151;2363;6;11.61;10;2;29.61
4187;2363;4.29;9.56;10;2;25.85
4276;2363;1.43;12.94;10;2;26.72
4304;2363;3.33;5.33;5;1;14.91
4308;2363;1.88;3.24;5;1;11.37
4309;2363;7.5;9.68;10;2;30.22
4351;2363;3.75;11.85;10;2;27.75
4352;2363;3.75;11.85;10;2;27.76
4355;2363;1.15;7.46;10;2;20.61
4357;2363;1.15;8.78;10;2;21.93
6159;2363;2.73;5.53;5;1;14.51
1658;1659;0.83;0.71;0;0;1.54
2025;1659;2.31;9.97;0;0;12.28
2359;1659;1.11;9.64;10;2;23.91
2360;1659;1.25;4.43;10;2;18.84
2363;1659;0.86;8.46;8.86;1.77;21.13
2368;1659;1.88;5.13;5;1;14.31
2369;1659;5;4.39;10;2;22.49
2576;1659;1.67;7.4;8.06;1.61;19.95
2589;1659;3.33;12.73;5;1;23.37
2590;1659;3.33;11.38;5;1;22.02
2591;1659;2.14;8.09;6.79;1.36;19.63
2592;1659;3.33;9.17;5;1;19.81
2593;1659;1.67;6.67;8.06;1.61;19.22
2594;1659;1.88;6.7;5;1;15.88
2597;1659;0.85;3.48;5;1;11.64
2616;1659;0.79;13.75;5;1;20.51
2628;1659;1.88;3.64;5;1;12.82
2629;1659;0.8;3.22;5;1;11.32
2630;1659;2.31;1.54;0;0;3.85
2686;1659;2.14;11.93;10;2;26.6
2785;1659;1.63;2.54;5;1;11.48
2786;1659;1.63;3.91;5;1;12.85
2787;1659;0.79;3.4;5;1;11.5
2788;1659;1.63;6.75;5;1;15.69
2790;1659;1.14;8.36;6.52;1.3;18.56
2791;1659;0.79;6.3;5;1;14.4
2793;1659;2.31;6.99;0;0;9.3
2794;1659;2.31;5.26;0;0;7.57
2795;1659;2.31;3.92;0;0;6.23
2811;1659;0.4;6.97;10;2;20.46
2814;1659;3;17.37;5;1;26.34
2860;1659;2;5.49;10;2;20.59
2861;1659;0.79;4.34;5;1;12.44
2862;1659;2.5;6.16;10;2;21.76
2863;1659;4.29;7.65;10;2;25.03
2924;1659;3.75;6.58;10;2;23.49
2925;1659;2.73;8.1;10;2;23.98
2926;1659;0.38;6.03;10;2;19.53
2937;1659;6;5.55;10;2;24.71
3014;1659;3.33;7.71;10;2;24.17
3317;1659;1.55;15.17;10;2;28.97
3318;1659;10;23.67;10;2;45.43
3349;1659;1.76;9.64;10;2;24.53
3798;1659;3.33;7.53;10;2;23.98
3799;1659;1.5;7.07;10;2;21.71
3962;1659;0.94;19.75;10;2;33.85
4077;1659;5;22.66;10;2;40.76
4138;1659;1;5.19;10;2;19.33
4142;1659;1.11;6;10;2;20.27
4149;1659;7.5;8.05;10;2;28.71
4151;1659;6;7.55;10;2;26.65
4187;1659;4.29;20.93;10;2;38.36
4276;1659;1.43;4.87;5;1;12.13
4304;1659;3.33;7.86;5;1;18.5
4308;1659;1.88;5.77;5;1;14.95
4309;1659;7.5;13.25;5;1;29.5
4351;1659;7.5;7.59;10;2;28.19
4352;1659;7.5;8.86;10;2;29.46
4355;1659;2.73;11.02;10;2;26.84
4357;1659;2.73;9.71;10;2;25.53
6159;1659;2.73;4.85;10;2;20.73
1658;4276;0.83;3.65;5;1;10.91
1659;4276;0.83;2.94;5;1;10.2
2025;4276;2.31;8.58;5;1;17.32
2359;4276;1.11;11.03;5.93;1.19;21.54
2360;4276;1.25;4.17;10;2;17.7
2363;4276;1.11;7.38;10;2;20.77
2368;4276;1.88;4.87;5;1;13.17
2369;4276;5;4.13;10;2;21.35
2576;4276;1.67;7.14;8.06;1.61;18.81
2589;4276;3.33;12.47;5;1;22.23
2590;4276;3.33;11.12;5;1;20.88
2591;4276;2.14;7.83;6.79;1.36;18.49
2592;4276;3.33;8.91;5;1;18.67
2593;4276;1.67;6.41;8.06;1.61;18.08
2594;4276;1.88;6.44;5;1;14.74
2597;4276;0.85;3.22;5;1;10.5
2616;4276;0.79;7.19;10;2;20.2
2628;4276;1.88;3.38;5;1;11.68
2629;4276;0.8;2.96;5;1;10.18
2630;4276;1.43;1.28;0;0;2.71
2686;4276;3.75;10.2;10;2;26.17
2785;4276;1.63;2.28;5;1;10.34
2786;4276;1.63;3.65;5;1;11.71
2787;4276;0.79;3.14;5;1;10.36
2788;4276;1.63;6.49;5;1;14.55
2790;4276;1.14;8.1;6.52;1.3;17.42
2791;4276;0.79;6.04;5;1;13.26
2793;4276;0.86;6.88;5;1;14.17
2794;4276;0.82;4.97;5;1;12.22
2795;4276;2.31;2.53;5;1;11.27
2811;4276;0.4;6.71;10;2;19.32
2814;4276;3;13.43;5;1;25.18
2860;4276;2;5.23;10;2;19.45
2861;4276;0.79;4.08;5;1;11.3
