site_id;site_name;longitude;latitude
1658;Электрический пер.;37.577;55.773
1659;Б. Кондратьевский пер.;37.58;55.774
2025;Мебельная ф-ка;37.597;55.792
2359;Воротниковский пер.;37.6;55.771
2360;Новая Дмитровская слобода;37.603;55.776
2363;Ул. Сущевский Вал;37.59;55.79
2368;Лесная ул.;37.596;55.784
2369;Малая Дмитровка;37.604;55.772
2576;Минаевский пер.;37.6;55.789
2589;Самотечная ул.;37.617;55.778
2590;4-й Самотечный пер.;37.613;55.779
2591;Селезневская ул.;37.609;55.781
2592;Ул. Достоевского;37.61;55.783
2593;Тихвинский пер.;37.601;55.788
2594;Ул. Палиха;37.601;55.785
2597;Менделеевская;37.6;55.782
2616;Китай-город (ТКЛ);37.634;55.755
2628;Миусский парк;37.592;55.781
2629;ДК Зуева;37.59;55.779
2630;Москва-Смоленская;37.58;55.777
2686;Ильинские Ворота;37.633;55.757
2785;Б. Грузинская ул.;37.589;55.774
2786;Ул. Юлиуса Фучика;37.593;55.772
2787;Маяковская;37.597;55.769
2788;Глазная б-ца;37.6;55.768
2790;Тверская пл.;37.609;55.763
2791;Площадь Революции;37.623;55.757
2793;Угловой пер.;37.589;55.79
2794;Новолесная ул.;37.588;55.784
2795;2-й Лесной пер.;37.586;55.781
2811;Боровицкая;37.61;55.752
2814;Моховая ул.;37.611;55.755
2860;Тверской бульв.;37.602;55.762
2861;Чеховская;37.608;55.766
2862;Страстной бульв.;37.613;55.768
2863;Петровский бульв.;37.617;55.768
2924;Малая Дмитровка;37.606;55.772
2925;Театр кукол им. Образцова;37.614;55.774
2926;Цветной Бульвар;37.621;55.772
2937;Достоевская;37.615;55.782
3014;2-й Щемиловский пер.;37.607;55.776
3317;Варварка;37.628;55.753
3318;Китайгородский пр.;37.633;55.749
3349;Ул. М. Дмитровка;37.607;55.767
3798;Краснопролетарская ул.;37.608;55.774
3799;Каретный Ряд;37.608;55.773
3962;Б. Каменный мост;37.613;55.748
4077;Софийская наб.;37.623;55.748
4138;Долгоруковская ул.;37.604;55.773
4142;Вадковский пер.;37.593;55.788
4149;Петровские ворота;37.613;55.769
4151;"Сад ""Эрмитаж""";37.611;55.77
4187;Трубная пл.;37.62;55.767
4276;Дом кино;37.588;55.772
4304;Пл. Борьбы;37.607;55.784
4308;Новослободская ул.;37.599;55.785
4309;Тихвинская ул.;37.6;55.791
4351;Столешников пер.;37.618;55.762
4352;Рахмановский пер.;37.618;55.765
4355;"Метро ""Цветной бульв.""";37.622;55.771
4357;Трубная;37.622;55.767
5569;Ул. Гашека;37.593;55.772
5832;Техническая остановка-2;37.62;55.765
6159;Нововоротниковский пер.;37.605;55.779
